"id,""matchDate"",""Country"",""League"",""Season"",""homeTeam"",""awayTeam"",""FTHG"",""FTAG"",""FTR"",""1HHG"",""1HAG"",""1HR"",""2HHG"",""2HAG"",""2HR"""
"1446,""31-01-21 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Getafe"",""Alaves"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1444,""31-01-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Granada CF"",""Celta Vigo"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1442,""01-02-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Betis"",""Osasuna"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1441,""05-02-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Alaves"",""Valladolid"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1439,""06-02-21 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Huesca"",""Real Madrid"",""1"",""2"",""A"",""0"",""0"",""D"",""1"",""2"",""A"""
"1438,""06-02-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Elche"",""Villarreal"",""2"",""2"",""D"",""0"",""2"",""A"",""2"",""0"",""H"""
"1437,""06-02-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Sevilla"",""Getafe"",""3"",""0"",""H"",""0"",""0"",""D"",""3"",""0"",""H"""
"1431,""09-02-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Real Madrid"",""Getafe"",""2"",""0"",""H"",""0"",""0"",""D"",""2"",""0"",""H"""
"1429,""13-02-21 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Granada CF"",""Atl. Madrid"",""1"",""2"",""A"",""0"",""0"",""D"",""1"",""2"",""A"""
"1428,""13-02-21 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Sevilla"",""Huesca"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1425,""14-02-21 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Getafe"",""Real Sociedad"",""0"",""1"",""A"",""0"",""1"",""A"",""0"",""0"",""D"""
"1423,""14-02-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Levante"",""Osasuna"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1422,""14-02-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Villarreal"",""Betis"",""1"",""2"",""A"",""0"",""1"",""A"",""1"",""1"",""D"""
"1421,""15-02-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Cadiz CF"",""Ath Bilbao"",""0"",""4"",""A"",""0"",""3"",""A"",""0"",""1"",""A"""
"1419,""19-02-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Betis"",""Getafe"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1417,""20-02-21 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Atl. Madrid"",""Levante"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1416,""20-02-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Valencia"",""Celta Vigo"",""2"",""0"",""H"",""0"",""0"",""D"",""2"",""0"",""H"""
"1415,""20-02-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Valladolid"",""Real Madrid"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1410,""22-02-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Osasuna"",""Sevilla"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1409,""24-02-21 19:00"",""Spain"",""LaLiga"",""2020/2021"",""Barcelona"",""Elche"",""3"",""0"",""H"",""0"",""0"",""D"",""3"",""0"",""H"""
"1407,""27-02-21 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Eibar"",""Huesca"",""1"",""1"",""D"",""0"",""0"",""D"",""1"",""1"",""D"""
"1406,""27-02-21 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Sevilla"",""Barcelona"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1405,""27-02-21 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Alaves"",""Osasuna"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1403,""28-02-21 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Celta Vigo"",""Valladolid"",""1"",""1"",""D"",""0"",""0"",""D"",""1"",""1"",""D"""
"1402,""28-02-21 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Cadiz CF"",""Betis"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1400,""28-02-21 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Villarreal"",""Atl. Madrid"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
